source_lang,target_lang,filename,error_type,error_details
java,python,codeforces_369_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/codeforces_369_B.py"", line 18, in <module>
    ans = get_points(n, k, l, r, sAll, sk)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/codeforces_369_B.py"", line 12, in get_points
    ans[idx] += 1
    ~~~^^^^^
IndexError: list index out of range
"
java,python,codeforces_272_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/codeforces_272_B.py"", line 25, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/codeforces_272_B.py"", line 16, in main
    x = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '7 1\n'
"
java,python,codeforces_222_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/codeforces_222_A.py"", line 6, in <module>
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '20 1 19 2 18 3 17 4 16 5 15 6 14 7 13 8 12 9 11 10'
"
java,python,atcoder_ABC133_E.py,Runtime Error,"Test Index: 21 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 38, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 30, in main
    nodes[0].set_parent(K, -1, 0, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 18, in set_parent
    nodes[n].set_parent(K, self.index, count, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 18, in set_parent
    nodes[n].set_parent(K, self.index, count, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_ABC133_E.py"", line 18, in set_parent
    nodes[n].set_parent(K, self.index, count, nodes)
  [Previous line repeated 995 more times]
RecursionError: maximum recursion depth exceeded
"
java,python,codeforces_356_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/codeforces_356_A.py"", line 2, in <module>
    from sortedcontainers import SortedSet
ModuleNotFoundError: No module named 'sortedcontainers'
"
java,python,atcoder_AGC027_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_AGC027_B.py"", line 27, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_AGC027_B.py"", line 6, in main
    N = int(sys.stdin.readline())
        ^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '16 10\n'
"
java,python,atcoder_ABC169_E.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_ABC169_E.py"", line 5, in <module>
    n = int(sys.stdin.readline().strip())
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '787430935 930572076'
"
java,python,atcoder_ABC167_D.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_ABC167_D.py"", line 26, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_ABC167_D.py"", line 3, in main
    N = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '200000 678997213818168535'
"
java,python,codeforces_617_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/codeforces_617_B.py"", line 4, in <module>
    if int(input().split()[0]) == 1:
           ^^^^^^^
EOFError: EOF when reading a line
"
java,python,atcoder_AGC024_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_AGC024_B.py"", line 16, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/llama_4_maverick/avatar/algo_based_translation/java/python/atcoder_AGC024_B.py"", line 5, in main
    map_dict = {P[i]: i for i in range(N)}
                ~^^^
IndexError: list index out of range
"
