source_lang,target_lang,filename,error_type,error_details
java,python,s409580149.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s409580149.py"", line 93, in <module>
    main_instance.main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s409580149.py"", line 58, in main
    self.solve()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s409580149.py"", line 27, in solve
    self.n = self.ni()
             ^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s409580149.py"", line 63, in ni
    b = self.readByte()
        ^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s409580149.py"", line 84, in readByte
    self.lenbuf = self.is_input.readinto(self.inbuf)
                  ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: '_io.TextIOWrapper' object has no attribute 'readinto'. Did you mean: 'readline'?
"
java,python,s682242794.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s682242794.py"", line 17, in <module>
    obj.solve()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s682242794.py"", line 10, in solve
    self.high = int(input())
                ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '30 19'
"
java,python,s835214694.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s835214694.py"", line 12, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s835214694.py"", line 3, in main
    a = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '4 12'
"
java,python,s399184958.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s399184958.py"", line 13, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s399184958.py"", line 3, in main
    A = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 2 2'
"
java,python,s831281137.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s831281137.py"", line 74, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s831281137.py"", line 8, in main
    N = nint(sc)
        ^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s831281137.py"", line 31, in nint
    return int(sc.readline().strip())
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '4 5'
"
java,python,s162740530.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s162740530.py"", line 39, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s162740530.py"", line 6, in main
    n = int(input().strip())
        ^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '6 1'
"
java,python,s518927375.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s518927375.py"", line 10, in <module>
    k = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '4 2 6'
"
java,python,s943650310.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s943650310.py"", line 12, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s943650310.py"", line 3, in main
    X = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '100 17'
"
java,python,s500433274.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s500433274.py"", line 22, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s500433274.py"", line 11, in main
    b = Decimal(numbers[1])
                ~~~~~~~^^^
IndexError: list index out of range
"
java,python,s657273562.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s657273562.py"", line 115, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/codenet/algo_based_translation/java/python/s657273562.py"", line 94, in main
    arr = sorted(map(int, data[1:n+1]), reverse=True)
                 ^^^
UnboundLocalError: cannot access local variable 'map' where it is not associated with a value
"
