source_lang,target_lang,filename,error_type,error_details
java,python,codeforces_612_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/codeforces_612_B.py"", line 5, in <module>
    dp[int(input())] = i
       ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 7
"
java,python,atcoder_ABC174_E.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC174_E.py"", line 45, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC174_E.py"", line 42, in main
    sol.solve(input_reader, output_writer)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC174_E.py"", line 7, in solve
    logs_length = in_.read_array(n)
                  ^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC174_E.py"", line 36, in read_array
    return [self.next_int() for _ in range(n)]
            ^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC174_E.py"", line 33, in next_int
    return int(self.next())
               ^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC174_E.py"", line 30, in next
    return next(self.tokenizer)
           ^^^^^^^^^^^^^^^^^^^^
StopIteration
"
java,python,codeforces_534_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/codeforces_534_B.py"", line 4, in <module>
    v1, v2, t, d = map(int, input().split())
    ^^^^^^^^^^^^
ValueError: not enough values to unpack (expected 4, got 2)
"
java,python,atcoder_ABC108_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC108_B.py"", line 36, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC108_B.py"", line 15, in main
    scan = list(map(int, input().split()))
                         ^^^^^
UnboundLocalError: cannot access local variable 'input' where it is not associated with a value
"
java,python,codeforces_456_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/codeforces_456_A.py"", line 12, in <module>
    a[i], b[i] = map(int, input().split())
    ^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3679...'
"
java,python,atcoder_AGC037_E.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_AGC037_E.py"", line 35, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_AGC037_E.py"", line 6, in main
    N = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '4434 5\n'
"
java,python,codeforces_450_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/codeforces_450_A.py"", line 9, in <module>
    q1.append(int(input()))
              ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 9 10 8 3 3 4 6 8 2 9 9 3 1 2 10 6 8 7 2 7 4 2 7 5 10 2 2 2 5 10 5 6 6 8 7 10 4 3 2 10 8 6 6 8 6 4 4 1 3'
"
java,python,codeforces_624_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/codeforces_624_B.py"", line 5, in <module>
    ans = [int(sys.stdin.readline().strip()) for _ in range(n)]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '243 364 768 766 633 535 502 424 502 283 592 877 137 891 837 990 681 898 831 487 595 604 747 856 805 688'
"
java,python,atcoder_ABC133_E.py,Runtime Error,"Test Index: 21 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC133_E.py"", line 48, in <module>
    solve()
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC133_E.py"", line 39, in solve
    nodes[0].set_parent(K, -1, 0, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC133_E.py"", line 18, in set_parent
    nodes[n].set_parent(K, self.index, count, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC133_E.py"", line 18, in set_parent
    nodes[n].set_parent(K, self.index, count, nodes)
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/atcoder_ABC133_E.py"", line 18, in set_parent
    nodes[n].set_parent(K, self.index, count, nodes)
  [Previous line repeated 995 more times]
RecursionError: maximum recursion depth exceeded
"
java,python,codeforces_131_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/gpt_4o/avatar/direct_translation/java/python/codeforces_131_B.py"", line 5, in <module>
    cnt[int(input()) + 10] += 1
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '10 -10'
"
