source_lang,target_lang,filename,error_type,error_details
java,python,atcoder_ABC104_C.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_ABC104_C.py"", line 38, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_ABC104_C.py"", line 7, in main
    D = int(sys.stdin.readline())
        ^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '10 1280600\n'
"
java,python,codeforces_387_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/codeforces_387_B.py"", line 3, in <module>
    req = [int(input()) for _ in range(n)]
           ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3'
"
java,python,atcoder_ABC167_D.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_ABC167_D.py"", line 31, in <module>
    doIt()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_ABC167_D.py"", line 10, in doIt
    N, K = int(sc.readline()), int(sc.readline())
           ^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '200000 678997213818168535\n'
"
java,python,codeforces_306_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/codeforces_306_A.py"", line 2, in <module>
    n = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '81 27'
"
java,python,codeforces_544_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/codeforces_544_B.py"", line 2, in <module>
    n, count = int(input()), int(input())
               ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '34 621'
"
java,python,atcoder_AGC004_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_AGC004_B.py"", line 22, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_AGC004_B.py"", line 6, in main
    N = int(scan.readline())
        ^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2000 500000000\n'
"
java,python,codeforces_534_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/codeforces_534_B.py"", line 28, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/codeforces_534_B.py"", line 6, in main
    v1 = int(sc.readline())
         ^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '100 100\n'
"
java,python,atcoder_ARC062_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_ARC062_B.py"", line 37, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_ARC062_B.py"", line 34, in main
    solver.solve(1, in_, out)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_ARC062_B.py"", line 6, in solve
    S = in_.next()
        ^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/atcoder_ARC062_B.py"", line 21, in next
    while self.tokenizer is None or not self.tokenizer.hasmoretokens():
                                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'list' object has no attribute 'hasmoretokens'
"
java,python,codeforces_274_A.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/codeforces_274_A.py"", line 5, in <module>
    arr = list(map(int, sys.stdin.readlines()))
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 1000 1000000 1000000000\n'
"
java,python,codeforces_242_B.py,Runtime Error,"Test Index: 0 Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/avatar/direct_translation/java/python/codeforces_242_B.py"", line 8, in <module>
    x = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 2'
"
