source_lang,target_lang,filename,error_type,error_details
java,python,s399184958.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s399184958.py"", line 1, in <module>
    A = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 2 2'
"
java,python,s312529015.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s312529015.py"", line 10, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s312529015.py"", line 2, in main
    A = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '4 5'
"
java,python,s291405468.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s291405468.py"", line 14, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s291405468.py"", line 7, in main
    B = int(input_line[1])
            ~~~~~~~~~~^^^
IndexError: list index out of range
"
java,python,s584135649.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s584135649.py"", line 14, in <module>
    Main.main(sys.argv)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s584135649.py"", line 8, in main
    n = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '0 2 3 4 5'
"
java,python,s047401835.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s047401835.py"", line 22, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s047401835.py"", line 9, in main
    numbers.append(int(sys.stdin.readline().strip()))
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '8 12 40'
"
java,python,s918182055.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s918182055.py"", line 189, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s918182055.py"", line 165, in main
    N = sc.next_int()
        ^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s918182055.py"", line 65, in next_int
    n = self.next_long()
        ^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s918182055.py"", line 48, in next_long
    while c != -1 and not self.is_printable_char_except_space(c):
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s918182055.py"", line 32, in is_printable_char_except_space
    return 33 <= c <= 126
           ^^^^^^^^^^^^^^
TypeError: '<=' not supported between instances of 'int' and 'str'
"
java,python,s897176066.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s897176066.py"", line 19, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s897176066.py"", line 7, in main
    A.append(int(input().strip()))
             ^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '2 6 1 4 5'
"
java,python,s965025950.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s965025950.py"", line 12, in <module>
    Main.main(sys.argv)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s965025950.py"", line 6, in main
    x = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3'
"
java,python,s493101281.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s493101281.py"", line 42, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s493101281.py"", line 11, in main
    l.append(int(sys.stdin.readline()))
             ^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '9 1 4 4 6 7\n'
"
java,python,s890213274.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s890213274.py"", line 14, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s890213274.py"", line 2, in main
    A1 = int(input())
         ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '5 7 9'
"
java,python,s596709252.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s596709252.py"", line 1, in <module>
    x = int(input())
        ^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 2 3'
"
java,python,s523386612.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s523386612.py"", line 17, in <module>
    Main.main(sys.argv)
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s523386612.py"", line 11, in main
    num = int(sc.readline())
          ^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '1 1 2 2\n'
"
java,python,s063482767.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s063482767.py"", line 18, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s063482767.py"", line 8, in main
    heapq.heappush(heap, int(input().strip()))
                         ^^^^^^^^^^^^^^^^^^^^
ValueError: invalid literal for int() with base 10: '3 8 5 1'
"
java,python,s325080396.py,Runtime Error,"Error: Traceback (most recent call last):
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s325080396.py"", line 21, in <module>
    main()
  File ""/home/sxa510/research/code/llm-code-translation/output/deepseek_chat/codenet/algo_based_translation/java/python/s325080396.py"", line 9, in main
    R[i] = values[i]
           ~~~~~~^^^
IndexError: list index out of range
"
